"Country or Area Code";"Country or Area";"Year";"Value";"Value Footnotes"
"ALB";"Albania";"2012";"29";"1"
"ALB";"Albania";"2008";"30";"1"
"ALB";"Albania";"2005";"30.6";"1"
"ALB";"Albania";"2002";"31.7";"1"
"ALB";"Albania";"1996";"27";"1"
"DZA";"Algeria";"2011";"27.6";"2"
"DZA";"Algeria";"1995";"35.3";"2"
"DZA";"Algeria";"1988";"40.2";"2"
"AGO";"Angola";"2008";"42.7";"1"
"ARG";"Argentina";"2016";"42.4";"3"
"ARG";"Argentina";"2014";"41.4";"3"
"ARG";"Argentina";"2013";"41";"3"
"ARG";"Argentina";"2012";"41.2";"3"
"ARG";"Argentina";"2011";"42.3";"3"
"ARG";"Argentina";"2010";"43";"3"
"ARG";"Argentina";"2009";"43.9";"3"
"ARG";"Argentina";"2008";"44.5";"3"
"ARG";"Argentina";"2007";"46.3";"3"
"ARG";"Argentina";"2006";"46.6";"3"
"ARG";"Argentina";"2005";"47.7";"3"
"ARG";"Argentina";"2004";"48.3";"3"
"ARG";"Argentina";"2003";"50.7";"3"
"ARG";"Argentina";"2002";"53.8";"3"
"ARG";"Argentina";"2001";"53.3";"3"
"ARG";"Argentina";"2000";"51.1";"3"
"ARG";"Argentina";"1999";"49.8";"3"
"ARG";"Argentina";"1998";"50.7";"3"
"ARG";"Argentina";"1997";"49.1";"3"
"ARG";"Argentina";"1996";"49.5";"3"
"ARG";"Argentina";"1995";"48.9";"3"
"ARG";"Argentina";"1994";"45.9";"3"
"ARG";"Argentina";"1993";"44.9";"3"
"ARG";"Argentina";"1992";"45.5";"3"
"ARG";"Argentina";"1991";"46.8";"3"
"ARG";"Argentina";"1987";"45.3";"4"
"ARG";"Argentina";"1986";"42.8";"4"
"ARG";"Argentina";"1980";"40.8";"4"
"ARM";"Armenia";"2016";"32.5";"1"
"ARM";"Armenia";"2015";"32.4";"1"
"ARM";"Armenia";"2014";"31.5";"1"
"ARM";"Armenia";"2013";"30.6";"1"
"ARM";"Armenia";"2012";"29.6";"1"
"ARM";"Armenia";"2011";"29.4";"1"
"ARM";"Armenia";"2010";"30";"1"
"ARM";"Armenia";"2009";"28";"1"
"ARM";"Armenia";"2008";"29.2";"1"
"ARM";"Armenia";"2007";"31.2";"1"
"ARM";"Armenia";"2006";"29.7";"1"
"ARM";"Armenia";"2005";"36";"1"
"ARM";"Armenia";"2004";"37.5";"1"
"ARM";"Armenia";"2003";"33";"1"
"ARM";"Armenia";"2002";"34.8";"1"
"ARM";"Armenia";"2001";"35.4";"1"
"ARM";"Armenia";"1999";"36.2";"1"
"AUS";"Australia";"2010";"34.7";"5"
"AUS";"Australia";"2008";"35.4";"5"
"AUS";"Australia";"2003";"33.5";"5"
"AUS";"Australia";"2001";"33.5";"5"
"AUS";"Australia";"1995";"32.6";"5"
"AUS";"Australia";"1989";"33.2";"5"
"AUS";"Australia";"1985";"32.5";"5"
"AUS";"Australia";"1981";"31.3";"5"
"AUT";"Austria";"2015";"30.5";"5"
"AUT";"Austria";"2014";"30.5";"5"
"AUT";"Austria";"2013";"30.8";"5"
"AUT";"Austria";"2012";"30.5";"5"
"AUT";"Austria";"2011";"30.8";"5"
"AUT";"Austria";"2010";"30.3";"5"
"AUT";"Austria";"2009";"31.5";"5"
"AUT";"Austria";"2008";"30.4";"5"
"AUT";"Austria";"2007";"30.6";"5"
"AUT";"Austria";"2006";"29.6";"5"
"AUT";"Austria";"2005";"28.7";"5"
"AUT";"Austria";"2004";"29.8";"5"
"AUT";"Austria";"2003";"29.5";"5"
"AZE";"Azerbaijan";"2005";"16.6";"1"
"AZE";"Azerbaijan";"2004";"16.2";"1"
"AZE";"Azerbaijan";"2003";"18.8";"1"
"AZE";"Azerbaijan";"2002";"17.4";"1"
"AZE";"Azerbaijan";"2001";"36.5";"1"
"AZE";"Azerbaijan";"1995";"34.7";"1"
"BGD";"Bangladesh";"2016";"32.4";"1"
"BGD";"Bangladesh";"2010";"32.1";"1"
"BGD";"Bangladesh";"2005";"33.2";"1"
"BGD";"Bangladesh";"2000";"33.4";"1"
"BGD";"Bangladesh";"1995";"32.9";"1"
"BGD";"Bangladesh";"1991";"27.6";"1"
"BGD";"Bangladesh";"1988";"28.8";"2"
"BGD";"Bangladesh";"1985";"26.9";"2"
"BGD";"Bangladesh";"1983";"25.9";"2"
"BLR";"Belarus";"2016";"27";"1"
"BLR";"Belarus";"2015";"26.7";"1"
"BLR";"Belarus";"2014";"27.2";"1"
"BLR";"Belarus";"2013";"26.6";"1"
"BLR";"Belarus";"2012";"26.5";"1"
"BLR";"Belarus";"2011";"27.2";"1"
"BLR";"Belarus";"2010";"28.6";"1"
"BLR";"Belarus";"2009";"27.7";"1"
"BLR";"Belarus";"2008";"27.8";"1"
"BLR";"Belarus";"2007";"29.6";"1"
"BLR";"Belarus";"2006";"28.3";"1"
"BLR";"Belarus";"2005";"27.6";"1"
"BLR";"Belarus";"2004";"26.5";"1"
"BLR";"Belarus";"2003";"28.8";"1"
"BLR";"Belarus";"2002";"30.3";"1"
"BLR";"Belarus";"2001";"30.6";"1"
