_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
  6.0081110138	+38.5770443664	R     And	 5.80	 	14.9	V	409.33	S3,5e-S8,8e(M7e) 	  1901
  5.5964527475	+26.9960364178	T     And	 7.70	 	14.5	V	280.76	M4e-M7.5e        	
 18.8724319968	+40.7195500258	U     And	 8.90	 	15.0	V	346.55	M6e              	
 12.5248065938	+35.6533034376	V     And	 9.00	 	15.2	V	257.73	M2e-M3e          	
 34.3873251326	+44.3049398162	W     And	 6.70	 	14.6	V	395.93	S6,1e-S9,2e/M4-M1	 10687
  4.0376816100	+47.0126663600	X     And	 8.30	 	15.2	V	346.18	S2,9e-S5,5e      	
 24.9030509581	+39.3441774680	Y     And	 8.20	 	15.1	V	220.53	M3e-M4.5e        	
 12.8460459450	+34.3771754600	RR    And	 8.40	 	15.6	V	328.15	S6.5,2e          	
 11.8288298803	+32.6857000554	RW    And	 7.90	 	15.7	V	430.30	M5e-M10e(S6,2e)  	
  1.0836445660	+40.1099573132	SV    And	 7.70	 	14.3	V	316.21	M5e-M7e          	   344
 23.3997238872	+46.5203468240	SX    And	 8.70	<	13.5	V	333.27	M6.5e            	
344.8439552181	+42.8647369097	SZ    And	 9.50	 	15.8	V	343.38	M2e              	
  8.0946990966	+26.0294335642	TU    And	 7.80	 	13.1	V	316.77	M5e              	  2546
 20.4931125572	+38.6952297812	TX    And	10.40	 	13.8	V	233.40	M1e              	
  3.5126954171	+29.0652457510	UW    And	 9.40	<	14.0	V	244.20	M5               	
 19.0560956834	+41.7394164296	UZ    And	 9.10	 	15.6	V	314.30	M7e-M9e          	
359.3833433850	+32.0391952300	YY    And	11.90	<	15.2	P	227.80	                 	
  6.8475851849	+30.8932918239	YZ    And	11.00	<	15.5	P	207.65	M5e              	
 31.5178834924	+40.7292167697	AH    And	11.00	<	14.2	P	480.20	M4-M5e           	
349.5052841639	+48.9753497568	AI    And	11.50	 	15.3	P	326.40	                 	
350.2925722486	+49.9928586539	AK    And	12.50	<	14.0	P	321.94	S:               	
349.4983971621	+46.7534228055	AO    And	11.20	 	14.0	V	334.20	                 	
 38.0914931813	+46.4726769700	AX    And	 9.60	 	15.0	V	379.40	                 	
352.7393474046	+43.2441066666	BG    And	10.80	<	15.0	P	285.30	S6.5,5e          	
345.2596432612	+50.0526929547	BP    And	13.40	<	16.5	P	141.60	                 	
350.9162497155	+39.7269204894	BU    And	10.60	<	13.9	P	382.15	M7e              	
 37.8614977257	+45.9068718428	CQ    And	12.10	<	13.3	P	177.50	M4               	
155.2879592203	-34.7885382174	V     Ant	 9.20	<	12.5	P	302.76	M7IIIe           	 50697
151.6760218257	-30.0771879503	X     Ant	 9.60	 	12.7	P	161.73	M2               	 49524
