RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
275.248750	-29.828056	6859	 19Del Sgr	168454	         	 2.70	 1.38	  K3-IIIa*
276.992500	-25.421667	6913	 22Lam Sgr	169916	         	 2.81	 1.04	  K1+IIIb
281.414167	-26.990833	7039	 27Phi Sgr	173300	         	 3.17	-0.11	  B8III
283.816250	-26.296667	7121	 34Sig Sgr	175191	         	 2.02	-0.22	  B2.5V
286.735000	-27.670556	7234	 40Tau Sgr	177716	         	 3.32	 1.19	  K1+IIIb
285.652917	-29.880278	7194	 38Zet Sgr	176687	         	 2.60	 0.08	  A2III+A4IV
276.042917	-34.384722	6879	 20Eps Sgr	169022	         	 1.85	-0.03	  B9.5III
271.255417	-29.580000	6742	   Gam1Sgr	164975	W Sgr    	 4.69	 0.78	  F4-G1Ib
275.248750	-29.828056	6859	 19Del Sgr	168454	         	 2.70	 1.38	  K3-IIIa*
281.414167	-26.990833	7039	 27Phi Sgr	173300	         	 3.17	-0.11	  B8III
285.652917	-29.880278	7194	 38Zet Sgr	176687	         	 2.60	 0.08	  A2III+A4IV
								
274.406667	-36.761667	6832	   Eta Sgr	167618	Eta Sgr  	 3.11	 1.56	  M3.5III
276.042917	-34.384722	6879	 20Eps Sgr	169022	         	 1.85	-0.03	  B9.5III
								
273.440833	-21.058889	6812	 13Mu  Sgr	166937	Mu  Sgr  	 3.86	 0.23	  B8Iap
276.992500	-25.421667	6913	 22Lam Sgr	169916	         	 2.81	 1.04	  K1+IIIb
								
275.248750	-29.828056	6859	 19Del Sgr	168454	         	 2.70	 1.38	  K3-IIIa*
276.042917	-34.384722	6879	 20Eps Sgr	169022	         	 1.85	-0.03	  B9.5III
								
#Scorpius
242.994167	-19.449722	6026	 14Nu  Sco	145501	         	 6.30	 0.13	  B8V+B9VpSi
241.359167	-19.805556	5984	  8Bet1Sco	144217	 7424    	 2.62	-0.07	  B1V
240.083333	-22.621667	5953	  7Del Sco	143275	         	 2.32	-0.12	  B0.3IV
239.712917	-26.114167	5944	  6Pi  Sco	143018	 7371    	 2.89	-0.19	  B1V+B2V
239.221250	-29.214167	5928	  5Rho Sco	142669	         	 3.88	-0.20	  B2IV-V
								
240.083333	-22.621667	5953	  7Del Sco	143275	         	 2.32	-0.12	  B0.3IV
245.297083	-25.592778	6084	 20Sig Sco	147165	Sig Sco  	 2.89	 0.13	  B1III
