RAJ2000	DEJ2000	name	alt_name	vmag	dimension	object_type	constell	notes
83.6248	22.0167	M 1	NGC 1952	8.4	6X4	DI	TAU	CRAB NEBULA = SN 1054
254.2748	-4.1	M 10	NGC 6254	6.6	15	GB	OPH	null
185.7248	15.8167	M 100	NGC 4321	9.4	7X6	S	COM	null
210.7999	54.3501	M 101	NGC 5457	7.7	27X26	S	UMA	null
23.2998	60.6999	M 103	NGC 581	7.4	6	OC	CAS	null
189.9998	-11.6166	M 104	NGC 4594	8.3	9X4	S	VIR	SOMBRERO GALAXY
161.9498	12.5834	M 105	NGC 3379	9.3	4X4	E	LEO	null
184.7498	47.3001	M 106	NGC 4258	8.3	18X8	S	CVN	null
248.1248	-13.05	M 107	NGC 6171	8.1	10	GB	OPH	null
167.8748	55.6667	M 108	NGC 3556	10	8X2	S	UMA	null
179.3998	53.3834	M 109	NGC 3992	9.8	8X5	S	UMA	null
282.7748	-6.2667	M 11	NGC 6705	5.8	14	OC	SCT	null
10.0998	41.6833	M 110	NGC 205	8	17X10	E?	AND	null
251.7998	-1.95	M 12	NGC 6218	6.6	14	GB	OPH	null
250.4249	36.4667	M 13	NGC 6205	5.9	17	GB	HER	HERCULES CLUSTER
264.3998	-3.25	M 14	NGC 6402	7.6	12	GB	OPH	null
322.4999	12.1666	M 15	NGC 7078	6.4	12	GB	PEG	null
274.6998	-13.7833	M 16	NGC 6611	6	7	OC	SER	null
275.1998	-16.1833	M 17	NGC 6618	7	46X37	DI	SGR	OMEGA NEBULA
274.9748	-17.1333	M 18	NGC 6613	6.9	9	OC	SGR	null
255.6498	-26.2667	M 19	NGC 6273	7.2	14	GB	OPH	null
323.3748	-0.8167	M 2	NGC 7089	6.5	13	GB	AQR	null
270.6498	-23.0333	M 20	NGC 6514	8.5	29X27	DI	SGR	TRIFID NEBULA
271.1498	-22.5	M 21	NGC 6531	5.9	13	OC	SGR	null
279.0998	-23.9	M 22	NGC 6656	5.1	24	GB	SGR	null
269.1998	-19.0167	M 23	NGC 6494	5.5	27	OC	SGR	null
274.2248	-18.4833	M 24	NA	4.5	90	NA	SGR	A LOCALIZED BRIGHTENING OF THE MILKY WAY
277.8998	-19.25	M 25	IC4725	4.6	32	OC	SGR	null
281.2998	-9.4	M 26	NGC 6694	8	15	OC	SCT	null
299.8999	22.7166	M 27	NGC 6853	8.1	8X4	PL	VUL	DUMBBELL NEBULA
276.1248	-24.8667	M 28	NGC 6626	6.9	11	GB	SGR	null
305.9749	38.5333	M 29	NGC 6913	6.6	7	OC	CYG	null
205.5499	28.3834	M 3	NGC 5272	6.4	16	GB	CVN	null
325.0998	-23.1834	M 30	NGC 7099	7.5	11	GB	CAP	null
10.6748	41.2666	M 31	NGC 224	3.4	178X63	S	AND	ANDROMEDA GALAXY
10.6748	40.8666	M 32	NGC 221	8.2	8X6	E	AND	null
23.4748	30.6499	M 33	NGC 598	5.7	62X39	S	TRI	null
40.4998	42.7833	M 34	NGC 1039	5.2	35	OC	PER	null
92.2248	24.3333	M 35	NGC 2168	5.1	28	OC	GEM	null
84.0248	34.1333	M 36	NGC 1960	6	12	OC	AUR	null
88.0998	32.55	M 37	NGC 2099	5.6	24	OC	AUR	null
82.1748	35.8333	M 38	NGC 1912	6.4	21	OC	AUR	null
323.0499	48.4333	M 39	NGC 7092	4.6	32	OC	CYG	null
245.8998	-26.5333	M 4	NGC 6121	5.9	26	GB	SCO	null
185.5999	58.0834	M 40	NA	8	null	NA	UMA	WINNECKE 4, A DOUBLE STAR OF 50 ARCSEC SEPARATION
101.7499	-20.7333	M 41	NGC 2287	4.5	38	OC	CMA	null
83.8498	-5.45	M 42	NGC 1976	4	66X60	DI	ORI	GREAT NEBULA IN ORION
83.8998	-5.2667	M 43	NGC 1982	9	20X15	DI	ORI	null
130.0248	19.9834	M 44	NGC 2632	3.1	95	OC	CNC	PRAESEPE OR BEEHIVE CLUSTER
56.7498	24.1166	M 45	NA	1.2	110	OC	TAU	PLEIADES OR SEVEN SISTERS CLUSTER
115.4499	-14.8166	M 46	NGC 2437	6.1	27	OC	PUP	null
114.1499	-14.5	M 47	NGC 2422	4.4	30	OC	PUP	ID WITH NGC 2422 IS POST-MESSIER
123.4498	-5.8	M 48	NGC 2548	5.8	54	OC	HYA	ID WITH NGC 2548 IS POST-MESSIER
187.4498	8.0001	M 49	NGC 4472	8.4	9X7	E	VIR	null
229.6498	2.0834	M 5	NGC 5904	5.8	17	GB	SER	null
105.7999	-8.3333	M 50	NGC 2323	5.9	16	OC	MON	null
202.4749	47.2001	M 51	NGC 5194	8.1	11X8	S	CVN	WHIRLPOOL GALAXY
351.0499	61.5833	M 52	NGC 7654	6.9	13	OC	CAS	null
198.2248	18.1667	M 53	NGC 5024	7.7	13	GB	COM	null
283.7748	-30.4833	M 54	NGC 6715	7.7	9	GB	SGR	null
294.9998	-30.9667	M 55	NGC 6809	7	19	GB	SGR	null
289.1499	30.1833	M 56	NGC 6779	8.2	7	GB	LYR	null
283.3999	33.0333	M 57	NGC 6720	9	1	PL	LYR	RING NEBULA IN LYRA
189.4248	11.8167	M 58	NGC 4579	9.8	5X4	S	VIR	null
190.4998	11.6501	M 59	NGC 4621	9.8	5X3	E	VIR	null
265.0248	-32.2167	M 6	NGC 6405	4.2	15	OC	SCO	null
190.9248	11.5501	M 60	NGC 4649	8.8	7X6	E	VIR	null
185.4748	4.4667	M 61	NGC 4303	9.7	6X5	S	VIR	null
255.2998	-30.1166	M 62	NGC 6266	6.6	14	GB	OPH	null
198.9499	42.0334	M 63	NGC 5055	8.6	12X8	S	CVN	null
194.1748	21.6834	M 64	NGC 4826	8.5	9X5	S	COM	BLACK-EYE GALAXY
169.7248	13.0834	M 65	NGC 3623	9.3	10X3	S	LEO	null
170.0498	12.9834	M 66	NGC 3627	9	9X4	S	LEO	null
132.5998	11.8167	M 67	NGC 2682	6.9	30	OC	CNC	null
189.8748	-26.7499	M 68	NGC 4590	8.2	12	GB	HYA	null
277.8498	-32.35	M 69	NGC 6637	7.7	7	GB	SGR	null
268.4748	-34.8167	M 7	NGC 6475	3.3	80	OC	SCO	null
280.7998	-32.3	M 70	NGC 6681	8.1	8	GB	SGR	null
298.4499	18.7833	M 71	NGC 6838	8.3	7	GB	SGE	null
313.3748	-12.5334	M 72	NGC 6981	9.4	6	GB	AQR	null
314.7248	-12.6334	M 73	NGC 6994	NA	null	NA	AQR	AN ASTERISM CONSISTING OF ONLY FOUR STARS
24.1748	15.7833	M 74	NGC 628	9.2	10X9	S	PSC	null
301.5248	-21.9167	M 75	NGC 6864	8.6	6	GB	SGR	null
25.5998	51.5666	M 76	NGC 650	11.5	2X1	PL	PER	LITTLE DUMBBELL NEBULA
40.6748	-0.0167	M 77	NGC 1068	8.8	7X6	S	CET	null
86.6748	0.05	M 78	NGC 2068	8	8X6	DI	ORI	null
81.1249	-24.55	M 79	NGC 1904	8	9	GB	LEP	null
270.9498	-24.3833	M 8	NGC 6523	5.8	90X40	DI	SGR	LAGOON NEBULA
244.2498	-22.9833	M 80	NGC 6093	7.2	9	GB	SCO	null
148.8998	69.0667	M 81	NGC 3031	6.8	26X14	S	UMA	null
148.9497	69.6834	M 82	NGC 3034	8.4	11X5	IR	UMA	null
204.2498	-29.8666	M 83	NGC 5236	7.6	11X10	S	HYA	null
186.2748	12.8834	M 84	NGC 4374	9.3	5X4	E	VIR	null
186.3498	18.1834	M 85	NGC 4382	9.2	7X5	E	COM	null
186.5498	12.9501	M 86	NGC 4406	9.2	7X6	E	VIR	null
187.6998	12.4001	M 87	NGC 4486	8.6	7	E	VIR	null
187.9998	14.4167	M 88	NGC 4501	9.5	7X4	S	COM	null
188.9248	12.5501	M 89	NGC 4552	9.8	4	E	VIR	null
259.7998	-18.5167	M 9	NGC 6333	7.9	9	GB	OPH	null
189.1998	13.1667	M 90	NGC 4569	9.5	10X5	S	VIR	null
188.8498	14.5001	M 91	NGC 4548	10.2	5X4	S	COM	ID WITH NGC 4548 IS POST-MESSIER
259.2749	43.1333	M 92	NGC 6341	6.5	11	GB	HER	null
116.1499	-23.8666	M 93	NGC 2447	6.2	22	OC	PUP	null
192.7249	41.1167	M 94	NGC 4736	8.1	11X9	S	CVN	null
160.9998	11.7001	M 95	NGC 3351	9.7	7X5	S	LEO	null
161.6998	11.8167	M 96	NGC 3368	9.2	7X5	S	LEO	null
168.6998	55.0167	M 97	NGC 3587	11.2	3	PL	UMA	OWL NEBULA
183.4498	14.9001	M 98	NGC 4192	10.1	10X3	S	COM	null
184.6998	14.4167	M 99	NGC 4254	9.8	5	S	COM	null
6.0254	-72.0832	NGC 104	NGC 104	4	30.9	GB	TUC	47 Tuc
180.4753	-18.8667	NGC 4038	NGC 4038	10.7	2.6	GX	CRV	Antennae
180.4753	-18.8834	NGC 4039	NGC 4039	13	3.2	GX	CRV	Antennae
296.2254	-14.8	NGC 6822	NGC 6822	9	10.2	GX	SGR	Barnard's galaxy
123.3002	46	NGC 2537	NGC 2537	11.7	1.7	GX	LYN	Bear Paw galaxy
296.2005	50.5167	NGC 6826	NGC 6826	10	2.3	PL	CYG	Blinking planetary
351.4754	42.5499	NGC 7662	NGC 7662	9	2.2	PL	AND	Blue Snowball
177.5753	-57.1834	NGC 3918	NGC 3918	8	0.2	PL	CEN	Blue planetary
183.0503	29.1667	NGC 4169	NGC 4169	13	2.1	GX	COM	Box
183.0753	29.1834	NGC 4173	NGC 4173	13	4.8	GX	COM	Box
183.1003	29.1334	NGC 4174	NGC 4174	14	0.8	GX	COM	Box
183.1253	29.1501	NGC 4175	NGC 4175	14	2	GX	COM	Box
258.5254	-12.9167	NGC 6309	NGC 6309	11	1.1	PL	OPH	Box nebula
350.1754	61.1999	NGC 7635	NGC 7635	NA	15	NB	CAS	Bubble nebula
258.4254	-37.1	NGC 6302	NGC 6302	13	0.8	PL	SCO	Bug nebula
119.2001	-59.1167	I 2220	I 2220	NA	1	NB	CAR	Butterfly nebula
60.1752	36.6166	NGC 1499	NGC 1499	NA	145	NB	PER	California nebula
100.2752	9.8833	NGC 2264	NGC 2264	3.9	60	C+N	MON	Christmas Tree cluster
328.3504	47.2666	I 5146	I 5146	7.2	12	C+N	CYG	Cocoon nebula
174.4253	22.0167	NGC 3745	NGC 3745	NA	0.4	GX	LEO	Copeland's Septet
174.4253	22	NGC 3746	NGC 3746	15	1.3	GX	LEO	Copeland's Septet
174.4503	22.0334	NGC 3748	NGC 3748	NA	0.8	GX	LEO	Copeland's Septet
174.4753	21.9667	NGC 3750	NGC 3750	NA	0.9	GX	LEO	Copeland's Septet
174.4753	21.9334	NGC 3751	NGC 3751	15	0.4	GX	LEO	Copeland's Septet
174.4753	21.9834	NGC 3753	NGC 3753	15	2	GX	LEO	Copeland's Septet
174.4753	21.9834	NGC 3754	NGC 3754	NA	0.4	GX	LEO	Copeland's Septet
303.0004	38.35	NGC 6888	NGC 6888	NA	20	NB	CYG	Crescent nebula
34.7503	57.1499	NGC 869	NGC 869	4	30	OC	PER	Double cluster
35.6003	57.1166	NGC 884	NGC 884	4	30	OC	PER	Double cluster
151.7502	-40.4334	NGC 3132	NGC 3132	8	0.8	PL	VEL	Eight-burst planetary
112.3002	20.9167	NGC 2392	NGC 2392	10	0.7	PL	GEM	Eskimo nebula
186.9253	13.0834	NGC 4435	NGC 4435	10.9	3	GX	VIR	The Eyes
186.9503	13.0167	NGC 4438	NGC 4438	10.1	9.3	GX	VIR	The Eyes
311.4254	30.7167	NGC 6960	NGC 6960	NA	70	NB	CYG	Filamentary nebula
NA	NA	NA	NA	NA	1	NA	NA	M  24
156.2003	-18.6333	NGC 3242	NGC 3242	9	20.8	PL	HYA	Ghost of Jupiter
133.9002	58.7334	NGC 2685	NGC 2685	11.1	5.2	GX	UMA	Helix galaxy
337.4004	-20.8	NGC 7293	NGC 7293	NA	12.8	PL	AQR	Helix nebula
65.7252	19.5333	NGC 1555	NGC 1555	NA	1	NB	TAU	Hind's variable nebula
99.8002	8.7333	NGC 2261	NGC 2261	NA	2	NB	MON	Hubble's variable neb
193.4003	-60.3334	NGC 4755	NGC 4755	4.2	10	OC	CRU	Jewel Box
25.5753	51.5833	NGC 651	NGC 651	12	1	PL	PER	Little Dumbbell
267.3004	-20.0167	NGC 6445	NGC 6445	13	0.6	PL	SGR	Little Gem
56.4503	24.3666	NGC 1432	NGC 1432	NA	30	NB	TAU	Maia nebula
56.5253	23.7833	NGC 1435	NGC 1435	NA	30	NB	TAU	Merope nebula
191.5253	30.7334	NGC 4676	NGC 4676	14	2.8	GX	COM	The Mice
314.1004	31.7166	NGC 6992	NGC 6992	NA	60	NB	CYG	Network nebula
314.2754	31.2166	NGC 6995	NGC 6995	NA	12	NB	CYG	Network nebula
314.7004	44.3333	NGC 7000	NGC 7000	NA	120	NB	CYG	North America nebula
311.9504	44.3666	I 5067	I 5067	NA	1	NA	CYG	Pelican nebula
312.7004	44.35	I 5070	I 5070	NA	80	NB	CYG	Pelican nebula
25.4984	-89.3332	NGC 2573	NGC 2573	13.5	3.6	GX	OCT	Polarissima Australis
177.4988	89.1168	NGC 3172	NGC 3172	13.6	0.7	GX	UMI	Polarissima Borealis
97.5752	5.05	NGC 2237	NGC 2237	NA	1	NB	MON	Rosette nebula
