RAJ2000	DEJ2000	tag
267.67917	-29.60611	MW1
268.2875	-29.90556	MW1
267.73333	-29.61083	MW1
267.82083	-29.65111	MW1
263.09167	-27.06139	MW1
266.7125	-29.06306	MW1
275.4625	-33.21056	MW1
264.375	-27.76028	MW1
263.13333	-27.06444	MW1
267.10833	-29.22806	MW1
284.8875	-36.63167	MW1
266.6625	-28.9975	MW1
273.34167	-32.24167	MW1
261.72917	-26.18972	MW1
265.6875	-28.44	MW1
266.51667	-28.87889	MW1
261.29583	-25.9075	MW1
267.00833	-29.11444	MW1
266.14167	-28.66444	MW1
266.45833	-28.82222	MW1
265.80833	-28.4725	MW1
269.10833	-30.1975	MW1
262.10417	-26.36667	MW1
256.2875	-22.70806	MW1
266.4375	-28.8025	MW1
265.55833	-28.30833	MW1
267.32083	-29.24861	MW1
267.72083	-29.44611	MW1
266.5	-28.81889	MW1
261.56667	-26.01139	MW1
266.5625	-28.82694	MW1
267.79583	-29.47056	MW1
266.5625	-28.82694	MW1
272.575	-31.76361	MW1
271.19583	-31.11194	MW1
265.82083	-28.33167	MW1
266.54167	-28.71167	MW1
265.83333	-28.32389	MW1
268.98333	-29.97028	MW1
263.49167	-27.00833	MW1
268.17917	-29.54444	MW1
267.04167	-28.94778	MW1
267.55	-29.20611	MW1
267.2125	-28.9475	MW1
266.775	-28.78111	MW1
266.77917	-28.76806	MW1
266.7875	-28.77417	MW1
266.61667	-28.655	MW1
267.02917	-28.85222	MW1
265.17917	-27.82472	MW1
265.70417	-28.10833	MW1
268.49167	-29.52917	MW1
268.1	-29.29472	MW1
265.84167	-28.09639	MW1
265.74583	-28.03611	MW1
272.1625	-31.26278	MW1
266.3	-28.32583	MW1
273.4125	-31.82639	MW1
265.775	-28.02667	MW1
266.75833	-28.53611	MW1
289.79583	-37.61111	MW1
267.375	-28.85694	MW1
266.52917	-28.40444	MW1
260.43333	-24.88667	MW1
266.54167	-28.39083	MW1
267.275	-28.75556	MW1
267.525	-28.88667	MW1
266.80417	-28.52139	MW1
267.55	-28.89556	MW1
269.15833	-29.71861	MW1
267.5625	-28.90611	MW1
267.52083	-28.87778	MW1
267.54583	-28.88472	MW1
267.575	-28.89444	MW1
267.54583	-28.87861	MW1
266.29167	-28.19944	MW1
267.6	-28.88389	MW1
265.8	-27.91917	MW1
267.53333	-28.8525	MW1
272.09167	-31.105	MW1
267.56667	-28.86167	MW1
267.55833	-28.86028	MW1
267.575	-28.855	MW1
269.01667	-29.58056	MW1
275.09583	-32.40806	MW1
265.825	-27.8975	MW1
267.46667	-28.75833	MW1
266.175	-28.05333	MW1
267.64583	-28.84583	MW1
275.05417	-32.35167	MW1
266.175	-28.03278	MW1
266.85	-28.38306	MW1
266.02083	-27.93611	MW1
268.8375	-29.39167	MW1
267.65417	-28.76722	MW1
268.6625	-29.225	MW1
261.5625	-25.26667	MW1
265.82083	-27.70583	MW1
265.59167	-27.55972	MW1
266.6875	-28.14639	MW1
267.9875	-28.81667	MW1
266.7125	-28.125	MW1
268.5125	-29.07556	MW1
229.02083	0.11139	MW1
265.67083	-27.47444	MW1
266.02083	-27.66778	MW1
